Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),pH,Recommended Fertilizer,Conductivity (us/cm),Temperature Soil (°C),Humidity (%RH),Salinity (mg/L),TDS (mg/L),Conductivity factor,Salinity factor,feels_like,temp,temp_min,temp_max,pressure,humidity
14.98,14.26,73.2,5.2,"Calcário (Óxido de cálcio, calcário dolomítico) - Corrigir baixo pH",2.887163201657985,28.432848427443005,52.272319017072896,93.12023518450852,415.6684954429353,2.4729034857913406,9.849927869727113,32.54683995780686,30.453725652574256,22.987832357736654,35.24888145489394,1005.519240319719,58.37412911295349
6.24,2.34,5.81,8.73,Enxofre Elementar (Sulfato de ferro ou enxofre elementar) - Corrigir alto pH,2.344742291739421,20.838025181012448,64.04815947961151,181.7901519538122,299.3768795716229,2.4783921813789362,8.405091055814747,32.113737697638854,21.653986436042864,24.979341105333376,26.141962892354503,1002.0595261403961,55.228392016720015
24.04,10.62,2.06,6.97,Fertilizante Completo para Alface (NPK 10-10-10 ou NPK 20-20-20),1.8858851312785017,15.162564772204476,97.52057420382793,76.16853873442706,134.76811523496949,8.33117248208244,1.3341605439123418,24.75212000351373,18.53011329604184,18.5071181545171,37.76810371073153,1017.0124825518678,81.82151247718184
33.3,3.19,218.18,4.37,"Calcário (Óxido de cálcio, calcário dolomítico) - Corrigir baixo pH",2.0293018655858805,28.580729646288955,94.51318919454582,107.65800294036406,314.8426167274191,6.986774986265801,9.216334637911986,29.357447321700985,22.458488753097026,22.67188288931127,32.42719790520962,1016.3627803570283,85.32378632434506
12.17,7.87,243.19,7.58,Enxofre Elementar (Sulfato de ferro ou enxofre elementar) - Corrigir alto pH,1.5490001560694748,16.369300151792004,72.78283763928565,158.8940724208172,334.73644720835165,5.707588822922074,8.71197398441507,21.48473302206896,28.116324821904332,19.01930913609242,32.20879865989972,1006.8314881749552,51.5793072412821
24.47,2.09,229.21,6.37,Evitar adubos ricos em Potássio (Excesso detectado),1.1193274737528935,19.789704563856223,81.00662989007684,85.34312864104133,398.17578967373197,4.229474357111522,5.236496765548114,22.983511414437224,18.874238829232254,19.79875620303909,33.886116769892766,1023.7715890562603,96.81061231218449
18.24,11.78,119.97,5.03,"Calcário (Óxido de cálcio, calcário dolomítico) - Corrigir baixo pH",1.389931696628154,29.250929505762073,63.86905914905663,128.19647304329595,272.6638184918718,8.894804867317974,5.953626813874799,33.237708914859034,26.438226202421017,21.2750546321837,37.37021448887724,1003.7764472945225,52.59856418257362
23.7,0.7,160.75,7.34,Enxofre Elementar (Sulfato de ferro ou enxofre elementar) - Corrigir alto pH,2.3946152761609225,29.25910720406334,59.40605798618807,173.84910466188157,151.03212111822552,4.532005966803719,4.050126768314289,18.221032699682514,28.146328431587115,23.736771141863386,30.217138118532894,1010.8083700260651,77.06481676505352
2.6,14.23,196.56,6.81,Fertilizante Completo para Alface (NPK 10-10-10 ou NPK 20-20-20),0.5359837215743897,23.601568321849292,73.18492024699911,190.408918494952,213.5103623194898,8.349394955244193,0.6421402243381102,19.453645024525958,23.682146143888332,24.840834691992953,35.17024228838595,1023.59039800419,85.45302597254582
12.18,42.93,68.42,4.88,"Calcário (Óxido de cálcio, calcário dolomítico) - Corrigir baixo pH",0.7901816012672906,24.47755818254699,67.66761140130264,37.94396137651721,245.23291855945405,4.952214177131966,3.4184526922944194,21.534066337482464,31.105507463678972,22.68273413864518,33.485979459936864,1010.4931829231531,93.54845618730428
